year,no_of_constituencies,no_of_electors,no_of_electors_voted,no_of_valid_votes
1955,167,11336618,8624842,8624842
1994,294,44725091,31763466,31136834
1957,85,5561345,3603585,3603585
1999,294,49654389,34334842,33309616
2009,294,57892259,41898927,42058446
1978,294,28386334,20698706,20150093
2014,294,64934138,48177984,48092120
2004,294,51146498,35780385,35767634
1985,294,34587372,23370750,22995337
1972,287,24607903,14693030,14292623
1967,287,20934068,14476108,51084842
1983,294,31846694,21560642,21117111
1962,300,19007856,12165283,38734159
1989,294,42448805,29899530,28750951
